date,time,name,setup,dist_high,recent_5m,consec_bull,gij_ago,vp,ma5%,hold_s,realized,mfe,mae,t_mfe_s,sim_pnl,sim_reason
05-20,09:02:31,주성엔지니어링,breakout,-0.3731343283582089,,0,0.5301373,158.41,3.236853733981441,74.033574,1.337613697164259,14.499732477260569,-2.086677367576244,1724.572255,0.4815409309791332,trailing
05-20,09:04:55,제주반도체,pullback,-2.286282306163022,,3,0.9213018666666667,131.3,-0.8872756604154061,24.563655,0.10172939979654119,0.6103763987792472,-5.798575788402848,375.185647,-0.40691759918616477,ma5_break
05-20,09:01:43,파두,breakout,0.0,,0,0.7300589,119.34,3.410138248847926,245.490894,0.267379679144385,2.228163992869875,-4.09982174688057,174.655792,-0.08912655971479501,trailing
05-20,09:06:52,진원생명과학,chase,-0.058788947677836566,,4,2.8703866666666666,114.68,4.448267387564518,31.704729,-1.0588235294117647,0.1176470588235294,-8.823529411764707,78.197796,-2.0,stop_-2%
05-20,09:09:01,SK네트웍스,breakout,-0.5688282138794084,2.823529411764706,3,1.0230322166666665,144.34,1.333333333333333,69.340786,-0.8009153318077803,0.34324942791762014,-10.755148741418765,58.994243,-2.0,stop_-2%
05-20,09:14:23,오텍,chase,0.0,6.918238993710692,4,,121.94,2.756286266924565,123.566171,-0.5882352941176471,1.1764705882352942,-10.705882352941176,4.755755,-0.823529411764706,trailing
05-20,09:20:36,주성엔지니어링,pullback,-2.1465968586387434,0.9179265658747301,2,0.60089035,111.49,0.6028636021100221,193.682108,3.103263777421081,14.499732477260569,-0.37453183520599254,640.327072,2.3006955591225253,target_prevhigh
05-20,09:27:50,주성엔지니어링,chase,0.0,3.972817564035546,3,0.8343756333333334,120.61,1.801617361040024,262.947014,7.59175465057818,7.59175465057818,-1.608848667672197,206.317955,1.558572146807441,trailing
05-20,09:35:15,주성엔지니어링,pullback,-2.803738317757009,-1.8867924528301887,3,0.26625925,113.32,0.434572670207629,61.405952,-1.201923076923077,1.201923076923077,-7.0673076923076925,10.411256999999999,-1.201923076923077,trailing
05-20,09:42:52,수젠텍,pullback,-1.2610340479192939,5.525606469002695,4,0.8801007833333333,113.93,2.032838154808444,289.787068,0.38314176245210724,3.3205619412515963,-1.532567049808429,1341.659444,1.532567049808429,target_prevhigh
05-20,09:44:45,주성엔지니어링,pullback,-2.570093457943925,1.4598540145985401,2,0.7597025333333334,111.37,1.2627489072365221,271.685846,-2.3980815347721824,0.4796163069544364,-7.290167865707434,146.83265,-1.4388489208633095,ma5_break
05-20,09:48:56,수젠텍,chase,-0.24813895781637718,3.3419023136246784,3,0.9458084,116.79,0.928948029123776,44.542232,0.24875621890547264,0.6218905472636816,-5.348258706467662,977.716987,-2.0,stop_-2%
05-20,09:53:50,오텍,none,-3.7906976744186047,3.167082294264339,3,,105.58,2.112849879054152,73.745359,-2.223833695914914,0.0725163161711385,-5.728788977519942,3.5682650000000002,-2.0,stop_-2%
05-20,10:04:47,수젠텍,breakout,-0.6188118811881188,2.2929936305732483,3,1.7918838333333333,110.18,0.9301156359979891,176.058401,0.12453300124533001,0.7471980074719801,-7.22291407222914,26.952461,-2.0,stop_-2%
05-20,10:10:05,현대모비스,breakout,0.0,2.029520295202952,2,1.0901650166666668,104.5,0.94925155166119,119.079847,0.3616636528028933,1.4466546112115732,-3.074141048824593,240.963377,-0.5424954792043399,trailing
05-21,09:44:34,광전자,chase,0.0,7.28476821192053,4,0.5709223166666667,115.67,4.388916732297559,133.489427,-2.4691358024691357,5.967078189300412,-4.11522633744856,1075.116838,-2.0,stop_-2%
05-21,09:47:32,제주반도체,pullback,-1.5625,1.4084507042253522,4,0.5392691166666667,122.45,0.92110532639167,159.721523,0.0,0.7936507936507936,-2.380952380952381,11.016179,-2.0,stop_-2%
05-21,09:45:22,KX하이텍,pullback,-1.6587677725118484,2.2167487684729066,2,26.375221800000002,134.68,1.367855398143624,333.194218,-1.9277108433734942,0.7228915662650602,-8.289156626506024,140.859018,-1.2048192771084338,ma5_break
05-21,09:53:31,광전자,chase,-0.6811989100817438,4.068522483940043,5,0.5264164166666666,115.79,2.143757881462799,148.319925,-1.440329218106996,5.967078189300412,-1.8518518518518516,537.787192,4.320987654320987,trailing
05-21,09:57:50,티이엠씨,none,-8.112582781456954,-1.2455516014234875,1,32.8448245,111.49,-0.215749730312837,151.195177,0.0,0.5405405405405406,-1.981981981981982,10.682675,-0.5405405405405406,eow_30m
05-21,09:45:55,삼성전기,pullback,-3.6124794745484397,0.7725321888412017,3,0.9190691666666667,109.88,0.48788838483266206,881.44164,-0.17035775127768313,1.788756388415673,-0.8517887563884157,1470.362617,0.596252129471891,eow_30m
05-21,10:02:28,광전자,chase,0.0,4.836512261580381,4,0.48008635,116.96,2.340736800106397,29.00827,-0.7147498375568551,0.3898635477582846,-5.977907732293697,0.566996,-2.0,stop_-2%
05-21,09:54:11,LG전자,breakout,-0.48192771084337355,0.7317073170731708,1,1.1935995333333334,127.11,0.46217465336900904,1036.922048,2.663438256658596,5.084745762711865,-0.24213075060532688,1773.756166,4.600484261501211,eow_30m
05-21,10:17:57,제주반도체,pullback,-2.24609375,1.0090817356205852,4,23.954063799999997,111.7,0.64347476372411,424.716905,3.196803196803197,12.287712287712289,0.0,1144.128358,2.897102897102897,target_prevhigh
05-22,09:04:48,쏠리드,breakout,-0.17271157167530224,,3,0.8108258833333333,146.27,3.300369355415226,97.419023,-1.1534025374855825,4.61361014994233,-2.0184544405997693,940.270431,-2.0,stop_-2%
05-22,09:09:36,드림시큐리티,breakout,-0.8871989860583016,0.903225806451613,2,1.6018434333333333,153.72,1.3478486262312082,47.355013,-0.3836317135549872,2.941176470588235,-9.462915601023019,220.80942,2.0460358056265986,bearish_candle
05-22,09:02:13,제주반도체,breakout,0.0,,0,1.2318848666666669,178.9,2.262292344936973,1162.086968,-0.4897959183673469,2.5306122448979593,-3.0204081632653064,117.006905,-0.40816326530612246,bearish_candle
05-22,11:48:43,쏠리드,pullback,-1.7973856209150325,0.5016722408026756,4,98.72773123333333,119.71,0.44568245125348105,,,0.0,-1.7748197448696619,5.010919,-1.6084303937881308,eow_30m
05-22,09:39:48,LG전자,pullback,-2.0533880903490758,0.8456659619450317,3,0.8162073833333333,75.25,0.803043110735418,,,0.41928721174004197,-2.3060796645702304,84.966504,-2.0,stop_-2%
05-22,10:06:35,에코프로,pullback,-1.7139090309822018,0.0,3,1.5897277833333334,111.73,0.38894849785407704,,,0.8048289738430584,-1.9450033534540576,113.452016,-1.9450033534540576,eow_30m
